City,VAT Catheter Measure Score,National Average VAT Catheter Measure Score,VAT Fistula Measure Score,National Average Fistula Measure Score,Vascular Access Combined Measure Score,National Average Vascular Access Combined Measure Score,Kt/V Comprehensive Measure Score,National Average Kt/V Comprehensive Measure Score,Hypercalcemia Measure Score,National Average Hypercalcemia Measure Score,NHSN Influenza Measure Score,National Average NHSN Influenza Measure Score,NHSN BSI Measure Score,National Average NHSN BSI Measure Score,NHSN Combined Measure Score,National Average NHSN Combined Measure Score,ICH CAHPS Measure Score,National Average ICH CAHPS Measure Score,Mineral Metabolism Measure Score,National Avg Mineral Metabolism Measure Score,Anemia Management Measure Score,National Average Anemia Management Measure Score,Standardized Readmission Ratio (SRR) Measure Score,National Average SRR Measure Score,Standardized Transfusion Ratio (STrR) Measure Score,National Average STrR Measure Score,Clinical Depression Screening and Follow-up Measure Score,National Average Clinical Depression Screening and Follow-up Measure Score,Pain Assessment and Follow-up Measure Score,National Average Pain Assessment and Follow-up Measure Score,Total Performance Score
AUSTINTOWN,4.0,5.0,6.0,5.0,5.0,5.0,9.0,8.0,9.0,8.0,10.0,9.0,5.0,6.0,7.0,7.0,5.0,5.0,10.0,9.0,10.0,10.0,3.0,5.0,6.0,5.0,10.0,10.0,10.0,10.0,65.0
AVON,5.0,5.0,6.0,5.0,5.0,5.0,10.0,8.0,9.0,8.0,10.0,9.0,4.0,6.0,6.0,7.0,4.0,5.0,7.0,9.0,10.0,10.0,6.0,5.0,6.0,5.0,10.0,10.0,10.0,10.0,66.0
AVONDALE,9.0,5.0,10.0,5.0,9.0,5.0,10.0,8.0,9.0,8.0,10.0,9.0,8.0,6.0,9.0,7.0,7.0,5.0,10.0,9.0,10.0,10.0,4.0,5.0,10.0,5.0,10.0,10.0,10.0,10.0,83.0
BADEN,7.0,5.0,6.0,5.0,7.0,5.0,10.0,8.0,9.0,8.0,10.0,9.0,1.0,6.0,5.0,7.0,5.0,5.0,10.0,9.0,10.0,10.0,3.0,5.0,0.0,5.0,10.0,10.0,10.0,10.0,60.0
BAKER,10.0,5.0,5.0,5.0,7.0,5.0,10.0,8.0,10.0,8.0,10.0,9.0,3.0,6.0,6.0,7.0,3.0,5.0,10.0,9.0,10.0,10.0,10.0,5.0,6.0,5.0,10.0,10.0,10.0,10.0,72.0
BAKERSFIELD,4.86,5.0,6.14,5.0,5.29,5.0,8.29,8.0,8.29,8.0,10.0,9.0,4.57,6.0,6.86,7.0,6.29,5.0,9.29,9.0,9.86,10.0,3.14,5.0,4.29,5.0,10.0,10.0,10.0,10.0,64.29
BALCH SPRINGS,4.0,5.0,0.0,5.0,2.0,5.0,6.0,8.0,9.0,8.0,10.0,9.0,7.0,6.0,8.0,7.0,0.0,5.0,4.0,9.0,10.0,10.0,6.0,5.0,7.0,5.0,10.0,10.0,10.0,10.0,51.0
BALTIMORE,5.9,5.0,3.95,5.0,5.0,5.0,7.45,8.0,7.85,8.0,9.5,9.0,5.2,6.0,7.25,7.0,4.0,5.0,8.65,9.0,9.85,10.0,4.5,5.0,4.6,5.0,9.75,10.0,9.9,10.0,60.25
BANGOR,4.0,5.0,4.0,5.0,4.0,5.0,7.0,8.0,4.0,8.0,10.0,9.0,10.0,6.0,10.0,7.0,2.0,5.0,8.0,9.0,10.0,10.0,6.0,5.0,2.0,5.0,10.0,10.0,10.0,10.0,56.0
BANNING,3.0,5.0,6.0,5.0,4.0,5.0,8.0,8.0,7.0,8.0,10.0,9.0,0.0,6.0,4.0,7.0,7.0,5.0,10.0,9.0,10.0,10.0,5.0,5.0,4.0,5.0,10.0,10.0,10.0,10.0,61.0
